Nombre,Precio,Tienda,Fecha
Razer Cooling Pad RGB Inteligente 14 a 18,139.95,Coolmod,2026-04-13
Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16 W11P,3199.95,Coolmod,2026-04-13
Gigabyte Gaming A16 CWHI3ES864SH i7-13620H RTX 5070 32GB 1TB 16 W11H,1349.95,Coolmod,2026-04-13
Medion Erazer Scout 17 E1 MD62759 i5-13420H RTX 5050 16GB 1TB 17.3 FreeDOS,859.95,Coolmod,2026-04-13
Medion Erazer Scout 17 E1 MD62758 C5-210H RTX 5050 16GB 1TB 17.3 W11H,999.95,Coolmod,2026-04-13
Microsoft Surface Laptop 7 Copilot+ PC EP2-22280 U7-266V 16GB 512GB 13.8 W11H,1099.95,Coolmod,2026-04-13
MSI Vector A16 HX A8WHG-050XES R9-7945HX RTX 5070Ti 32GB 1TB 16 FHD+ FreeDOS,1798.95,Coolmod,2026-04-13
Gigabyte AERO X16 1WH93ESC64AH AMD Ryzen AI 7 350 RTX 5070 32GB 1TB 16 W11H,1699.95,Coolmod,2026-04-13
MSI Vector 16 HX AI A2XWIG-CM (628XES) U9-275HX RTX 5080 32GB 1TB 16 QHD+ 240Hz W11P,2648.95,Coolmod,2026-04-13
Gigabyte AERO X16 1VH93ESC94AH AMD Ryzen AI 7 350 RTX 5060 16GB 1TB 16 W11H,1399.95,Coolmod,2026-04-13
Medion Erazer Major X20 MD62614 i7-14700HX RTX 4070 16GB 1TB 16 W11H,1699.95,Coolmod,2026-04-13
MSI Vector 16 HX AI A2XWIG-628XES U9-275HX RTX 5080 32GB 1TB 16 QHD+ 240Hz FreeDOS,2648.95,Coolmod,2026-04-13
MSI Vector 16 HX AI A2XWJG-CM (671XES) U9-275HX RTX 5090 64GB 1TB 16 QHD+ 240Hz W11P,3299.95,Coolmod,2026-04-13
Razer Core X V2 Negra (Estación Gráfica GPU Externa),359.95,Coolmod,2026-04-13
MSI Crosshair A16 HX D8WGKG-076XES R7-8840HX RTX 5070 32GB 1TB 16 QHD+ FreeDOS,1628.95,Coolmod,2026-04-13
MSI Katana 17 HX B14WGK-CM (034XES) i9-14900HX RTX 5070 32GB 1TB 17.3 W11P,1698.95,Coolmod,2026-04-13
Gigabyte Gaming A16 GA63WHAB7W AMD Ryzen 7 260 RTX 5070 32GB 1TB 16 FreeDOS,1399.95,Coolmod,2026-04-13
MSI Vector A16 HX A8WHG-CM (050XES) R9-7945HX RTX 5070Ti 32GB 1TB 16 FHD+ W11P,1798.95,Coolmod,2026-04-13
Medion Akoya E15301 R5-3500U 8GB 256GB 15.6 FHD W11P,239.95,Coolmod,2026-04-13
Medion Erazer Major 15 X1 MD62708 i7-14700HX RTX 4070 16GB 1TB 15.3 W11H,1599.95,Coolmod,2026-04-13
Gigabyte Gaming A16 3VHK3ES864SD-CM R7-260 RTX 5060 32GB 1TB 16 W11P,1179.95,Coolmod,2026-04-13
Gigabyte Gaming A16 3VHK3ES864SD R7-260 RTX 5060 32GB 1TB 16 FreeDOS,1099.95,Coolmod,2026-04-13
Medion Akoya E15301 R7-3700U 8GB 256GB 15.6 FHD W11P,259.95,Coolmod,2026-04-13
HP OMEN MAX 16-AH0031NS-CM U9-275HX RTX 5080 32GB 1TB 16 OLED W11P,2599.95,Coolmod,2026-04-13
MSI Vector 18 HX AI A2XWIG-648ES U9-275HX RTX 5080 32GB 1TB 18 QHD+ 240Hz W11H,2998.95,Coolmod,2026-04-13
Medion Erazer Beast 16 X1 MD62733 U9-275HX RTX 5080 32GB 2TB 16 W11H,2899.95,Coolmod,2026-04-13
MSI Crosshair A16 HX D8WGKG-CM (076XES) R7-8840HX RTX 5070 32GB 1TB 16 QHD+ W11P,1628.95,Coolmod,2026-04-13
Gigabyte AORUS Elite 16 BWHC3ESC64SH U9-275HX RTX 5070 32GB 1TB 16 QHD 2K 165Hz W11H,2279.95,Coolmod,2026-04-13
MSI Cyborg A15 AI B2HWFKG-CM (094XES) R9-270 RTX 5060 64GB 1TB 15.6 W11P,1498.95,Coolmod,2026-04-13
"Medion SPRCHRGD 14 S2 MD62723 U9-288V 32GB 2TB 14 2,8K W11H",1299.95,Coolmod,2026-04-13
MSI Vector 18 HX AI A2XWJG-1000ES U9-275HX RTX 5090 64GB 1TB 18 QHD+ W11H,3798.95,Coolmod,2026-04-13
MSI Katana 17 HX B14WGK-CM (032XES) i7-14650HX RTX 5070 32GB 1TB 17.3 W11P,1598.95,Coolmod,2026-04-13
HP OMEN MAX 16-AH0029NS U7-255HX RTX 5070Ti 32GB 1TB 16 OLED FreeDOS,2679.94,Coolmod,2026-04-13
MSI Cyborg 15 B2RWFKG-CM (239XES) C7-240H RTX 5060 32GB 1TB 15.6 W11P,1198.95,Coolmod,2026-04-13
MSI Prestige 13 AI+ Evo A2VMG-030ES U7-256V 16GB 512GB 13.3 W11H,1199.95,Coolmod,2026-04-13
HP 15-FD0354NS-CM i5-1334U 8GB 512GB 15.6 W11P,479.95,Coolmod,2026-04-13
"Medion SPRCHRGD 14 S2 MD62721 U5-228V 32GB 512GB 14 2,8K W11H",999.95,Coolmod,2026-04-13
Gigabyte G5 MF5-H2ES354KD i7-13620H RTX 4050 16GB 1TB 15.6 FreeDOS,959.95,Coolmod,2026-04-13
LG Gram 15Z80T AMD Ryzen AI 7 350 32GB 1TB 15 W11H,999.95,Coolmod,2026-04-13
MSI Prestige 16 AI-013ES U9-386H 32GB 1TB 16 3K OLED W11H Panther Lake,1448.95,Coolmod,2026-04-13
Medion Akoya E15301 R7-3700U 8GB 512GB 15.6 FHD W11P,299.95,Coolmod,2026-04-13
Samsung Galaxy Book6 Ultra NP964UJH-XG9ES U7-356H RTX 5070 64GB 1TB 16 W11P,3596.95,Coolmod,2026-04-13
MSI Titan 18 HX AI A2XWJG-249ES U9-285HX RTX 5090 64GB 2TB 18 UHD 4K Mini LED 120Hz W11H,5332.95,Coolmod,2026-04-13
Gigabyte AERO X16 2WHA3ESC65AH AMD Ryzen AI 9 HX 370 RTX 5070 32GB 2TB 16 W11H,2357.95,Coolmod,2026-04-13
Gigabyte Gaming A16 CTHI3ES894SD i7-13620H RTX 5050 16GB 1TB 16 FreeDOS,1029.95,Coolmod,2026-04-13
Gigabyte Gaming A16 CVHI3ES894SD i7-13620H RTX 5060 16GB 1TB 16 FreeDOS,1099.95,Coolmod,2026-04-13
Asus VivoBook 15 X1504VA-BQ4105 Core 5-120U 16GB 512GB 15.6 W11,549.94,Coolmod,2026-04-13
MSI Vector 16 HX AI A2XWGG-CM (014XES) U9-275HX RTX 5070 32GB 1TB 16 QHD+ OLED W11P,2399.95,Coolmod,2026-04-13
HP OMEN MAX 16-AH003NS U9-275HX RTX 5090 64GB 1TB 16 OLED W11H,4599.95,Coolmod,2026-04-13
Gigabyte G6 MF-72ES893KD i7-13620H RTX 4050 16GB 512GB 16 FreeDOS,1149.95,Coolmod,2026-04-13
HP 15-FD0354NS-CM i5-1334U 16GB 512GB 15.6 W11P,679.95,Coolmod,2026-04-13
Acer Aspire Go 15 AG15-42P-R9DL R5-7430U 8GB 512GB 15.6 W11H,519.95,Coolmod,2026-04-13
Medion Erazer Beast 18 X1 MD62731 U9-275HX RTX 5080 32GB 2TB 18 W11H,2599.95,Coolmod,2026-04-13
Lenovo ThinkPad L14 Gen5 AMD 21L50021SP AMD Ryzen 5 PRO 7535U 16GB 512GB 14 W11P,1199.94,Coolmod,2026-04-13
Medion Deputy 15 P1 MD62761 i7-250H RTX 5060 16GB 1TB 15.6 W11H,1099.95,Coolmod,2026-04-13
HP 15-FD0267NS-CM i5-1334U 8GB 512GB 15.6 W11P,549.95,Coolmod,2026-04-13
HP 15-FD0267NS i5-1334U 8GB 512GB 15.6 FreeDOS,549.95,Coolmod,2026-04-13
Medion Deputy 15 P1 MD62764 i5-210H RTX 5060 16GB 1TB 15.6 FreeDOS,949.95,Coolmod,2026-04-13
Medion Erazer Beast 16 X1 Ultimate MD62732 U9-275HX RTX 5090 32GB 2TB 16 W11H,3199.95,Coolmod,2026-04-13
MSI Vector A16 HX A8WIG-CM (054XES) R9-8940HX RTX 5080 64GB 1TB 16 QHD+ 240Hz W11P,2599.95,Coolmod,2026-04-13
MSI Vector 16 HX AI A2XWHG-CM (097XES) U7-255HX RTX 5070Ti 32GB 1TB 16 QHD+ 240Hz W11P,2298.95,Coolmod,2026-04-13
Microsoft Surface Pro 10 U7-165U 16GB 256GB 13 W11P Platinum,2080.95,Coolmod,2026-04-13
Microsoft Surface Pro 10 U5-135U 16GB 256GB 13 W11P Platino,1902.95,Coolmod,2026-04-13
Samsung Galaxy Book3 Pro 360 NP734QFG-KA1ES i5-1340P 16GB 512GB 13.3 W11P,1223.95,Coolmod,2026-04-13
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Plus 16GB 256GB 13 W11P Platino,1244.94,Coolmod,2026-04-13
Lenovo V14 G4 i5-13420H 8GB 512GB 14 W11P,499.95,Coolmod,2026-04-13
Acer TravelMate X4 14 AI TMX414-51-TCO-55NC U5-226V 16GB 512GB 14 W11P,1060.95,Coolmod,2026-04-13
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Elite 16GB 512GB 13 W11P Platino,1609.95,Coolmod,2026-04-13
Lenovo ThinkBook 14 2-en-1 G5 IAU 21SQ000DSP U7-255U 16GB 512GB 14 W11P,1446.95,Coolmod,2026-04-13
Asus VivoBook 15 X1504VA-BQ4271 Core 7-150U 16GB 512GB 15.6 FreeDOS,607.95,Coolmod,2026-04-13
Acer Extensa 15 EX215-57-737Z i5-13420H 16GB 512GB 15.6 W11P,718.95,Coolmod,2026-04-13
Acer Extensa 15 EX215-57-59BS C5-120U 16GB 512GB 15.6 W11P,708.95,Coolmod,2026-04-13
Microsoft Surface Go 4 For Business Intel N200 8GB 128GB 10.5 W11P Platino,731.95,Coolmod,2026-04-13
Samsung Galaxy Book4 NP750XGJ-KG2ES i5-1335U 16GB 512GB 15.6 W11H,731.95,Coolmod,2026-04-13
Lenovo V17 G4 IRU i3-1315U 8GB 256GB 17.3 W11H,573.95,Coolmod,2026-04-13
Lenovo ThinkPad L13 2-en-1 Gen 6 U5-225U 16GB 512GB 13.3 W11P,1718.95,Coolmod,2026-04-13
Samsung Galaxy Book5 Pro 360 NP964QHA-KG1ES U7-258V 32GB 1TB 16 3K AMOLED W11P,1903.95,Coolmod,2026-04-13
Acer TravelMate P6 14 IA TMP614-54T-TCO-75K6 U7-258V 32GB 1TB 14 W11P,2018.95,Coolmod,2026-04-13
Dell Pro 16 PC16250 U5-235U 16GB 512GB 16 W11P,1183.95,Coolmod,2026-04-13
Microsoft Surface Pro Copilot+ PC Snapdragon X Plus 16GB 256GB 12 W11P Platino,1317.94,Coolmod,2026-04-13
MSI Crosshair A16 HX D8WGKG-048XES R9-8940HX RTX 5070 32GB 1TB 16 FreeDOS,1898.95,Coolmod,2026-04-13
HP 15-FD0011NS i7-1355U 16GB 1TB 15.6,713.95,Coolmod,2026-04-13
Acer Extensa 14 EXO14-71-568G U5-125H 16GB 512GB 14 W11P,806.95,Coolmod,2026-04-13
Asus Vivobook 15 X1504VA-BQ575W Core 5-120U 16GB 512GB 15.6 W11H Plata,607.95,Coolmod,2026-04-13
Acer TravelMate P2 16 TMP216-71-G3-TCO-54WW U5-125H 16GB 1TB 16 W11P,1002.94,Coolmod,2026-04-13
Asus VivoBook 17 F1704VA-AU049W Core 7-150U 16GB 1TB 17.3 W11H,787.95,Coolmod,2026-04-13
LG Gram 16ZD90T U7-255H 32GB 1TB 16 FreeDOS,1376.96,Coolmod,2026-04-13
Asus VivoBook 17 X1704VA-AU918W Core 7-150U 16GB 1TB 17.3 W11H,787.95,Coolmod,2026-04-13
LG Gram 14Z90S-G.AD78B U7-155H 32GB 1TB 14 W11H Negro,1176.95,Coolmod,2026-04-13
Lenovo V15 82YY001PSP R7-7730U 16GB 512GB 15.6 W11H,598.95,Coolmod,2026-04-13
Lenovo V15 G4 IRU 83A100W2SP i3-1315U 8GB 512GB 15.6 FreeDOS,449.95,Coolmod,2026-04-13
LG Gram Pro AI 16Z90TS U9-288V 32GB 1TB 16 W11H,1474.95,Coolmod,2026-04-13
Lenovo V15 G4 AMN R3-7320U 8GB 512GB 15.6 FHD W11H,434.95,Coolmod,2026-04-13
Asus VivoBook 17 X1704VA-AU1143 Core 7-150U 16GB 1TB 17.3 FreeDOS,697.95,Coolmod,2026-04-13
HP 15S-FD0327NS i7-1355U 16GB 512GB 15.6 FreeDOS,640.95,Coolmod,2026-04-13
Acer Aspire 14 AI A14-52M-75M1 U7-256V 16GB 1TB 14 OLED W11H,1055.95,Coolmod,2026-04-13
Asus ROG Zephyrus G16 OLED GU605CM-QR003 U9-285H 32GB 1TB 16 FreeDOS,2298.95,Coolmod,2026-04-13
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Elite 16GB 512GB 13 W11P Negro,1977.95,Coolmod,2026-04-13
MSI Prestige 14 AI+ Evo C2VMG-008ES U7-256V 16GB 1TB 14 W11H,1298.95,Coolmod,2026-04-13
Asus Vivobook 15 D1502NAQ-BQ168 AMD Ryzen 7 170 16GB 512GB 15.6 FreeDOS,541.95,Coolmod,2026-04-13
Samsung Galaxy Book5 360 U7-256V 16GB 512GB 15.6 W11P,1466.96,Coolmod,2026-04-13
Samsung Galaxy Book5 Pro NP944XHA-KG1ES U5-226V 16GB 512GB 14  W11P,1480.96,Coolmod,2026-04-13
Acer Extensa 14 EXO14-71-78J7 U7-155H 16GB 1TB 14 W11P,933.95,Coolmod,2026-04-13
Samsung Galaxy Book5 360 U5-256V 16GB 512GB 15.6 W11P,1354.95,Coolmod,2026-04-13
Dell Pro 15 Essential PV15250 i7-1355U 16GB 512GB 15.6 W11H,684.94,Coolmod,2026-04-13
Samsung Galaxy Book4 Edge Snapdragon X Elite 16GB 512GB 14 W11P,1585.95,Coolmod,2026-04-13
MSI Summit E16 AI Evo A1MTG-016ES U7-155H 16GB 1TB 16 W11H,1699.95,Coolmod,2026-04-13
Samsung Galaxy Book4 i7-1355U 16GB 512GB 15.6 W11P,966.95,Coolmod,2026-04-13
MSI Modern 15 F1MG-204ES U7-150U 16GB 512GB 15.6 W11H,902.95,Coolmod,2026-04-13
Microsoft Surface Pro 11 Gen Copilot+ PC Snapdragon X Elite 16GB 1TB 13 W11P Platino,2270.95,Coolmod,2026-04-13
